Date,Open,High,Low,Close,Adj Close,Volume
2009-06-02,20.799999,20.900000,20.760000,20.900000,18.935110,72800
2009-06-03,20.760000,20.770000,20.620001,20.690001,18.744854,31800
2009-06-04,20.709999,20.780001,20.680000,20.750000,18.799212,40200
2009-06-05,20.730000,20.770000,20.650000,20.690001,18.744854,51200
2009-06-08,20.540001,20.600000,20.440001,20.600000,18.663313,42500
2009-06-09,20.680000,20.680000,20.580000,20.660000,18.717674,37900
2009-06-10,20.770000,20.770000,20.660000,20.700001,18.753914,24200
2009-06-11,20.719999,20.820000,20.709999,20.799999,18.844511,25600
2009-06-12,20.780001,20.799999,20.719999,20.799999,18.844511,46300
2009-06-15,20.670000,21.040001,20.590000,20.780001,18.826393,62900
2009-06-16,20.840000,21.190001,20.600000,20.629999,18.690493,25400
2009-06-17,20.629999,20.629999,20.500000,20.620001,18.681433,14000
2009-06-18,20.620001,20.690001,20.600000,20.639999,18.699553,8400
2009-06-19,20.740000,20.740000,20.670000,20.700001,18.753914,13600
2009-06-22,20.600000,20.600000,20.500000,20.500000,18.572718,33700
2009-06-23,20.580000,20.770000,20.480000,20.570000,18.636135,25300
2009-06-24,20.719999,20.780001,20.650000,20.650000,18.708612,33600
2009-06-25,20.650000,20.910000,20.600000,20.750000,18.799212,39500
2009-06-26,20.860001,20.879999,20.780001,20.780001,18.826393,10200
2009-06-29,21.000000,21.059999,20.820000,20.840000,18.880751,41500
2009-06-30,20.980000,20.980000,20.820000,20.889999,18.926050,19900
2009-07-01,20.980000,21.070000,20.980000,21.059999,19.080067,7400
2009-07-02,20.980000,20.980000,20.840000,20.910000,18.944170,13800
2009-07-06,20.770000,20.840000,20.750000,20.840000,18.880751,8100
2009-07-07,20.870001,20.870001,20.700001,20.719999,18.772034,9300
2009-07-08,20.650000,20.650000,20.459999,20.530001,18.599897,27000
2009-07-09,20.650000,20.680000,20.580000,20.660000,18.717674,3600
2009-07-10,20.500000,20.549999,20.450001,20.540001,18.608955,25200
2009-07-13,20.309999,20.549999,20.309999,20.469999,18.545536,7200
2009-07-14,20.580000,20.600000,20.570000,20.600000,18.663313,2000
