Date,Open,High,Low,Close,Adj Close,Volume
1990-04-20,5.259259,5.481482,5.259259,5.333333,3.608127,7090200
1990-04-23,5.333333,5.407407,5.185185,5.296296,3.583071,1452100
1990-04-24,5.296296,5.333333,5.185185,5.185185,3.507902,711600
1990-04-25,5.185185,5.333333,5.111111,5.185185,3.507902,734500
1990-04-26,5.185185,5.333333,5.111111,5.185185,3.507902,467700
1990-04-27,5.185185,5.333333,5.111111,5.111111,3.457789,548200
1990-04-30,5.111111,5.259259,5.111111,5.185185,3.507902,55300
1990-05-01,5.185185,5.259259,5.111111,5.111111,3.457789,92400
1990-05-02,5.111111,5.259259,5.111111,5.148148,3.482845,415300
1990-05-03,5.148148,5.259259,5.111111,5.111111,3.457789,157500
1990-05-04,5.111111,5.259259,5.111111,5.148148,3.482845,167500
1990-05-07,5.185185,5.259259,5.185185,5.185185,3.507902,182200
1990-05-08,5.185185,5.481482,5.185185,5.481482,3.708353,274600
1990-05-09,5.481482,5.481482,5.259259,5.333333,3.608127,349600
1990-05-10,5.333333,5.555555,5.259259,5.481482,3.708353,494200
1990-05-11,5.481482,6.148148,5.407407,6.000000,4.059144,653500
1990-05-14,6.000000,6.074074,5.629630,5.629630,3.808580,371800
1990-05-15,5.703704,5.925926,5.703704,5.888889,3.983974,220900
1990-05-16,5.888889,5.925926,5.703704,5.777778,3.908806,280000
1990-05-17,5.777778,6.148148,5.777778,6.074074,4.109258,630400
1990-05-18,6.074074,6.148148,6.000000,6.148148,4.159371,201300
1990-05-21,6.148148,6.148148,6.000000,6.000000,4.059144,156700
1990-05-22,6.000000,6.148148,5.925926,6.148148,4.159371,434700
1990-05-23,6.148148,6.592593,6.074074,6.444445,4.359823,799200
1990-05-24,6.444445,6.666667,6.444445,6.555555,4.434989,303700
1990-05-25,6.555555,6.666667,6.444445,6.444445,4.359823,105400
1990-05-29,6.444445,6.962963,6.370370,6.814815,4.610386,720900
1990-05-30,6.814815,6.962963,6.740741,6.740741,4.560275,222900
1990-05-31,6.740741,6.962963,6.740741,6.888889,4.660501,259200
1990-06-01,6.888889,7.111111,6.888889,7.111111,4.810838,263800
1990-06-04,7.111111,7.111111,6.888889,6.962963,4.710613,97800
1990-06-05,6.962963,7.037037,6.740741,6.888889,4.660501,153900
1990-06-06,6.888889,7.185185,6.888889,6.962963,4.710613,407200
1990-06-07,6.962963,7.111111,6.888889,6.888889,4.660501,409900
1990-06-08,6.888889,7.037037,6.888889,7.037037,4.760725,242200
1990-06-11,7.037037,7.037037,6.888889,7.037037,4.760725,167400
1990-06-12,7.037037,7.185185,6.962963,7.185185,4.860951,197700
1990-06-13,7.185185,7.333333,7.111111,7.333333,4.961179,145300
1990-06-14,7.333333,7.333333,7.111111,7.333333,4.961179,236800
1990-06-15,7.333333,7.407407,7.185185,7.407407,5.011290,280300
1990-06-18,7.407407,7.481482,7.333333,7.407407,5.011290,105900
1990-06-19,7.407407,7.555555,7.333333,7.481482,5.061400,120300
1990-06-20,7.481482,7.481482,7.333333,7.333333,4.961179,37300
1990-06-21,7.333333,7.481482,7.185185,7.185185,4.860951,59500
1990-06-22,7.185185,7.333333,7.185185,7.185185,4.860951,50500
1990-06-25,7.185185,7.407407,6.962963,6.962963,4.710613,90600
1990-06-26,7.037037,7.148148,7.037037,7.037037,4.760725,85600
1990-06-27,7.037037,7.037037,6.814815,6.962963,4.710613,138300
1990-06-28,6.962963,6.962963,6.888889,6.962963,4.710613,62200
1990-06-29,6.962963,7.037037,6.888889,7.037037,4.760725,31000
1990-07-02,6.962963,6.962963,6.814815,6.962963,4.710613,33300
1990-07-03,6.962963,6.962963,6.814815,6.925926,4.685555,75600
1990-07-05,6.925926,6.962963,6.814815,6.814815,4.610386,249700
1990-07-06,6.814815,6.962963,6.740741,6.962963,4.710613,188500
1990-07-09,6.962963,7.555555,6.962963,7.259259,4.911063,260500
1990-07-10,7.259259,7.444445,7.259259,7.407407,5.011290,32400
1990-07-11,7.407407,7.407407,7.259259,7.407407,5.011290,13500
1990-07-12,7.407407,7.407407,7.333333,7.333333,4.961179,56200
1990-07-13,7.333333,7.407407,7.333333,7.407407,5.011290,51900
1990-07-16,7.407407,7.407407,7.333333,7.333333,4.961179,8200
1990-07-17,7.333333,7.407407,7.333333,7.407407,5.011290,19500
1990-07-18,7.407407,7.407407,7.185185,7.185185,4.860951,306600
1990-07-19,7.185185,7.259259,6.888889,6.888889,4.660501,147100
1990-07-20,6.888889,7.111111,6.814815,6.814815,4.610386,164200
1990-07-23,6.814815,6.888889,6.370370,6.370370,4.309710,140500
1990-07-24,6.370370,6.666667,6.370370,6.666667,4.510161,212100
1990-07-25,6.666667,6.740741,6.518518,6.703704,4.535216,38700
1990-07-26,6.703704,6.814815,6.592593,6.666667,4.510161,85200
1990-07-27,6.666667,6.814815,6.592593,6.814815,4.610386,39100
1990-07-30,6.703704,6.703704,6.666667,6.666667,4.510161,27000
1990-07-31,6.666667,6.814815,6.666667,6.740741,4.560275,112000
1990-08-01,6.740741,6.740741,6.518518,6.740741,4.560275,247600
1990-08-02,6.666667,6.666667,6.592593,6.592593,4.460047,124300
1990-08-03,6.592593,6.592593,5.555555,6.222222,4.209486,382600
1990-08-06,6.222222,6.370370,5.925926,6.074074,4.109258,87000
1990-08-07,6.074074,6.222222,6.000000,6.148148,4.159371,89700
1990-08-08,6.148148,6.222222,6.000000,6.222222,4.209486,625900
1990-08-09,6.222222,6.444445,6.222222,6.444445,4.359823,297100
1990-08-10,6.444445,6.518518,6.296296,6.444445,4.359823,108900
